anti_pct,mean,std,count
0,7.5,1.0606601717798212,5
5,12.4,3.361547262794322,5
10,12.0,7.802243267163618,5
15,12.6,4.519402615390667,5
20,15.7,7.718484307168086,5
30,16.1,7.486654793697917,5
