n_robots,rep,robot_id,tick,vl,vr,error,collision,boundary,transporting,home,force,delivered,state,x,y
1,0,fb0,580,7.3,15.0,0,0,0,0,0,0,0,APPROACH,-0.69,0.61
1,0,fb0,590,15.0,3.1,0,0,0,1,0,0,0,TRANSPORT,-0.61,0.59
1,0,fb0,600,15.0,6.66,0,0,0,1,0,0,0,TRANSPORT,-0.57,0.5
1,0,fb0,610,-4.66,15.0,0,0,0,0,0,0,0,APPROACH,-0.56,0.44
1,0,fb0,620,2.65,15.0,0,0,0,0,0,0,0,APPROACH,-0.5,0.44
1,0,fb0,630,6.31,15.0,0,0,0,0,0,0,0,APPROACH,-0.43,0.51
1,0,fb0,640,1.89,15.0,0,0,0,1,0,1,0,TRANSPORT,-0.42,0.61
1,0,fb0,650,7.35,15.0,0,0,0,1,0,1,0,TRANSPORT,-0.49,0.68
1,0,fb0,660,10.4,15.0,0,0,0,1,0,1,0,TRANSPORT,-0.6,0.7
1,0,fb0,670,7.26,15.0,0,0,0,1,0,1,0,TRANSPORT,-0.73,0.69
1,0,fb0,680,5.34,15.0,0,0,0,1,0,0,0,TRANSPORT,-0.8,0.64
1,0,fb0,690,15.0,11.11,0,0,0,1,0,0,0,TRANSPORT,-0.84,0.52
1,0,fb0,700,15.0,-1.91,0,0,0,0,0,0,0,APPROACH,-0.88,0.45
1,0,fb0,710,15.0,3.9,0,0,0,0,0,0,0,APPROACH,-0.95,0.46
1,0,fb0,720,15.0,6.84,0,0,0,0,0,0,0,APPROACH,-1.01,0.54
1,0,fb0,730,3.02,15.0,0,0,0,1,0,0,0,TRANSPORT,-1.05,0.62
1,0,fb0,740,9.12,15.0,0,0,0,1,0,0,0,TRANSPORT,-1.15,0.65
1,0,fb0,750,15.0,-4.99,0,0,0,0,0,0,0,APPROACH,-1.23,0.65
1,0,fb0,760,15.0,2.54,0,0,0,0,0,0,0,APPROACH,-1.24,0.71
1,0,fb0,770,15.0,6.33,0,0,0,0,0,0,0,APPROACH,-1.19,0.79
1,0,fb0,780,15.0,-1.69,0,0,0,1,0,1,0,TRANSPORT,-1.09,0.82
1,0,fb0,790,15.0,3.88,0,0,0,1,0,1,0,TRANSPORT,-1.03,0.77
1,0,fb0,800,15.0,4.21,0,0,0,1,0,0,0,TRANSPORT,-1.02,0.68
1,0,fb0,810,15.0,13.61,0,0,0,1,0,0,0,TRANSPORT,-1.09,0.59
1,0,fb0,820,-3.63,15.0,0,0,0,0,0,0,0,APPROACH,-1.16,0.53
1,0,fb0,830,3.19,15.0,0,0,0,0,0,0,0,APPROACH,-1.13,0.46
1,0,fb0,840,6.67,15.0,0,0,0,0,0,0,0,APPROACH,-1.04,0.44
1,0,fb0,850,15.0,-2.68,0,0,0,1,0,0,0,TRANSPORT,-0.94,0.47
1,0,fb0,860,15.0,5.24,0,0,0,1,0,0,0,TRANSPORT,-0.87,0.43
1,0,fb0,870,-11.57,15.0,0,0,0,0,0,0,0,APPROACH,-0.84,0.35
1,0,fb0,880,-0.57,15.0,0,0,0,0,0,0,0,APPROACH,-0.8,0.33
1,0,fb0,890,4.62,15.0,0,0,0,0,0,0,0,APPROACH,-0.74,0.38
1,0,fb0,900,7.27,15.0,0,0,0,0,0,0,0,APPROACH,-0.72,0.49
1,0,fb0,910,6.11,15.0,0,0,0,1,0,1,0,TRANSPORT,-0.77,0.56
1,0,fb0,920,9.59,15.0,0,0,0,1,0,1,0,TRANSPORT,-0.87,0.6
1,0,fb0,930,11.59,15.0,0,0,0,1,0,1,0,TRANSPORT,-1.0,0.59
1,0,fb0,940,12.79,15.0,0,0,0,1,0,1,0,TRANSPORT,-1.13,0.55
1,0,fb0,950,13.51,15.0,0,0,0,1,0,1,0,TRANSPORT,-1.25,0.48
1,0,fb0,960,9.5,15.0,0,0,0,1,0,1,0,TRANSPORT,-1.36,0.4
1,0,fb0,970,-15.0,-15.0,0,0,0,0,0,0,1,BACKUP,-1.33,0.45
1,0,fb0,980,15.0,-15.0,0,0,0,0,0,0,1,TURN,-1.27,0.52
1,0,fb0,990,-9.18,15.0,0,0,0,0,0,0,1,APPROACH,-1.27,0.52
1,0,fb0,1000,0.55,15.0,0,0,0,0,0,0,1,APPROACH,-1.28,0.57
1,0,fb0,1010,5.53,15.0,0,0,0,0,0,0,1,APPROACH,-1.37,0.6
1,0,fb0,1020,8.27,15.0,0,0,0,0,0,0,1,APPROACH,-1.46,0.55
1,0,fb0,1030,-15.0,-15.0,0,0,0,0,0,0,2,BACKUP,-1.55,0.45
1,0,fb0,1040,-15.0,-15.0,0,0,0,0,0,0,2,BACKUP,-1.47,0.57
1,0,fb0,1050,15.0,-15.0,0,0,0,0,0,0,2,TURN,-1.44,0.6
1,0,fb0,1060,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.42,0.64
1,0,fb0,1070,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.35,0.78
1,0,fb0,1080,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.28,0.91
1,0,fb0,1090,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.21,1.04
1,0,fb0,1100,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.14,1.17
1,0,fb0,1110,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.07,1.31
1,0,fb0,1120,15.0,5.67,0,0,0,0,0,0,2,APPROACH,-1.0,1.37
1,0,fb0,1130,14.63,9.37,0,0,0,0,0,0,2,APPROACH,-0.89,1.37
1,0,fb0,1140,12.94,11.06,0,0,0,0,0,0,2,APPROACH,-0.78,1.33
1,0,fb0,1150,12.35,11.65,0,0,0,0,0,0,2,APPROACH,-0.68,1.27
1,0,fb0,1160,12.16,11.84,0,0,0,0,0,0,2,APPROACH,-0.57,1.2
1,0,fb0,1170,12.07,11.93,0,0,0,0,0,0,2,APPROACH,-0.48,1.13
1,0,fb0,1180,15.0,2.56,0,0,0,1,0,1,2,TRANSPORT,-0.39,1.06
1,0,fb0,1190,15.0,2.58,0,0,0,1,0,0,2,TRANSPORT,-0.37,0.98
1,0,fb0,1200,15.0,11.74,0,0,0,1,0,0,2,TRANSPORT,-0.42,0.89
1,0,fb0,1210,-5.83,15.0,0,0,0,0,0,0,2,APPROACH,-0.51,0.82
1,0,fb0,1220,2.12,15.0,0,0,0,0,0,0,2,APPROACH,-0.5,0.76
1,0,fb0,1230,6.06,15.0,0,0,0,0,0,0,2,APPROACH,-0.42,0.72
1,0,fb0,1240,15.0,-5.0,0,0,0,1,0,0,2,TRANSPORT,-0.31,0.74
1,0,fb0,1250,15.0,4.94,0,0,0,1,0,0,2,TRANSPORT,-0.25,0.72
1,0,fb0,1260,10.05,7.95,0,0,0,0,0,0,2,SEARCH,-0.2,0.63
1,0,fb0,1270,-2.09,15.0,0,0,0,0,0,0,2,APPROACH,-0.18,0.6
1,0,fb0,1280,3.87,15.0,0,0,0,0,0,0,2,APPROACH,-0.11,0.63
1,0,fb0,1290,6.9,15.0,0,0,0,0,0,0,2,APPROACH,-0.08,0.73
1,0,fb0,1300,5.14,15.0,0,0,0,1,0,1,2,TRANSPORT,-0.11,0.82
1,0,fb0,1310,9.24,15.0,0,0,0,1,0,1,2,TRANSPORT,-0.2,0.87
1,0,fb0,1320,11.57,15.0,0,0,0,1,0,1,2,TRANSPORT,-0.33,0.87
1,0,fb0,1330,12.92,15.0,0,0,0,1,0,1,2,TRANSPORT,-0.46,0.85
1,0,fb0,1340,13.73,15.0,0,0,0,1,0,1,2,TRANSPORT,-0.59,0.79
1,0,fb0,1350,15.0,15.0,0,0,0,1,0,1,2,TRANSPORT,-0.73,0.73
1,0,fb0,1360,15.0,15.0,0,0,0,1,0,1,2,TRANSPORT,-0.86,0.66
1,0,fb0,1370,14.18,15.0,0,0,0,1,0,1,2,TRANSPORT,-0.98,0.58
1,0,fb0,1380,11.69,15.0,0,0,0,1,0,1,2,TRANSPORT,-1.1,0.51
1,0,fb0,1390,3.18,15.0,0,0,0,1,0,0,2,TRANSPORT,-1.18,0.43
1,0,fb0,1400,15.0,11.08,0,0,0,1,0,0,2,TRANSPORT,-1.18,0.32
1,0,fb0,1410,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.18,0.2
1,0,fb0,1420,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.15,0.06
1,0,fb0,1430,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.13,-0.09
1,0,fb0,1440,15.0,-4.83,0,0,0,0,0,0,2,APPROACH,-1.13,-0.18
1,0,fb0,1450,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.23,-0.28
1,0,fb0,1460,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.34,-0.38
1,0,fb0,1470,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.45,-0.48
1,0,fb0,1480,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.56,-0.58
1,0,fb0,1490,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.68,-0.68
1,0,fb0,1500,-8.82,15.0,0,0,1,0,0,0,2,SEARCH,-1.78,-0.77
1,0,fb0,1510,1.67,15.0,0,0,1,0,0,0,2,SEARCH,-1.77,-0.82
1,0,fb0,1520,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.67,-0.91
1,0,fb0,1530,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.54,-0.99
1,0,fb0,1540,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.41,-1.07
1,0,fb0,1550,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.29,-1.14
1,0,fb0,1560,15.0,15.0,0,0,0,0,0,0,2,SEARCH,-1.16,-1.22
