tick,robot_id,neighbor_count,stopped,swarm_size
20,fb28,0,0,30
20,fb29,0,0,30
25,fb0,1,1,30
25,fb1,1,1,30
25,fb2,1,1,30
25,fb3,0,0,30
25,fb4,0,0,30
25,fb5,0,0,30
25,fb6,1,1,30
25,fb7,1,1,30
25,fb8,1,1,30
25,fb9,2,1,30
25,fb10,0,0,30
25,fb11,1,1,30
25,fb12,0,0,30
25,fb13,0,0,30
25,fb14,2,1,30
25,fb15,0,0,30
25,fb16,0,0,30
25,fb17,2,1,30
25,fb18,1,1,30
25,fb19,0,0,30
25,fb20,0,0,30
25,fb21,0,0,30
25,fb22,0,0,30
25,fb23,0,0,30
25,fb24,1,1,30
25,fb25,1,1,30
25,fb26,2,1,30
25,fb27,0,0,30
25,fb28,0,0,30
25,fb29,0,0,30
30,fb0,1,1,30
30,fb1,1,1,30
30,fb2,1,1,30
30,fb3,0,0,30
30,fb4,0,0,30
30,fb5,0,0,30
30,fb6,1,1,30
30,fb7,1,1,30
30,fb8,1,1,30
30,fb9,2,1,30
30,fb10,0,0,30
30,fb11,1,1,30
30,fb12,0,0,30
30,fb13,0,0,30
30,fb14,2,1,30
30,fb15,1,1,30
30,fb16,0,0,30
30,fb17,2,1,30
30,fb18,1,1,30
30,fb19,1,1,30
30,fb20,0,0,30
30,fb21,0,0,30
30,fb22,0,0,30
30,fb23,0,0,30
30,fb24,1,1,30
30,fb25,1,1,30
30,fb26,2,1,30
30,fb27,0,0,30
30,fb28,0,0,30
30,fb29,0,0,30
35,fb0,1,1,30
35,fb1,1,1,30
35,fb2,1,1,30
35,fb3,0,0,30
35,fb4,0,0,30
35,fb5,0,0,30
35,fb6,1,1,30
35,fb7,1,1,30
35,fb8,1,1,30
35,fb9,2,1,30
35,fb10,0,0,30
35,fb11,1,1,30
35,fb12,0,0,30
35,fb13,0,0,30
35,fb14,2,1,30
35,fb15,1,1,30
35,fb16,0,0,30
35,fb17,2,1,30
35,fb18,1,1,30
35,fb19,1,1,30
35,fb20,0,0,30
35,fb21,0,0,30
35,fb22,0,0,30
35,fb23,0,0,30
35,fb24,1,1,30
35,fb25,1,1,30
35,fb26,2,1,30
35,fb27,0,0,30
35,fb28,0,0,30
35,fb29,0,0,30
40,fb0,1,1,30
40,fb1,2,1,30
40,fb2,1,1,30
40,fb3,0,0,30
40,fb4,0,0,30
40,fb5,0,0,30
40,fb6,1,1,30
40,fb7,1,1,30
40,fb8,1,1,30
40,fb9,2,1,30
40,fb10,0,0,30
40,fb11,1,1,30
40,fb12,0,0,30
40,fb13,0,0,30
40,fb14,2,1,30
40,fb15,1,1,30
40,fb16,0,0,30
40,fb17,2,1,30
40,fb18,1,1,30
40,fb19,1,1,30
40,fb20,0,0,30
40,fb21,0,0,30
40,fb22,0,0,30
40,fb23,0,0,30
40,fb24,1,1,30
40,fb25,1,1,30
40,fb26,2,1,30
40,fb27,1,1,30
40,fb28,0,0,30
40,fb29,0,0,30
45,fb0,1,1,30
45,fb1,2,1,30
45,fb2,1,1,30
45,fb3,0,0,30
45,fb4,0,0,30
45,fb5,0,0,30
45,fb6,1,1,30
45,fb7,1,1,30
45,fb8,1,1,30
45,fb9,2,1,30
