tick,robot_id,neighbor_count,stopped,swarm_size
5,fb0,0,0,20
5,fb1,1,1,20
5,fb2,1,1,20
5,fb3,0,0,20
5,fb4,0,0,20
5,fb5,0,0,20
5,fb6,1,1,20
5,fb7,1,1,20
5,fb8,0,0,20
5,fb9,0,0,20
5,fb10,0,0,20
5,fb11,0,0,20
5,fb12,0,0,20
5,fb13,0,0,20
5,fb14,1,1,20
5,fb15,0,0,20
5,fb16,0,0,20
5,fb17,1,1,20
5,fb18,0,0,20
5,fb19,0,0,20
10,fb0,0,0,20
10,fb1,1,1,20
10,fb2,1,1,20
10,fb3,0,0,20
10,fb4,0,0,20
10,fb5,0,0,20
10,fb6,1,1,20
10,fb7,1,1,20
10,fb8,0,0,20
10,fb9,0,0,20
10,fb10,0,0,20
10,fb11,0,0,20
10,fb12,0,0,20
10,fb13,0,0,20
10,fb14,1,1,20
10,fb15,0,0,20
10,fb16,0,0,20
10,fb17,1,1,20
10,fb18,0,0,20
10,fb19,0,0,20
15,fb0,0,0,20
15,fb1,1,1,20
15,fb2,1,1,20
15,fb3,0,0,20
15,fb4,0,0,20
15,fb5,0,0,20
15,fb6,1,1,20
15,fb7,1,1,20
15,fb8,0,0,20
15,fb9,0,0,20
15,fb10,0,0,20
15,fb11,0,0,20
15,fb12,0,0,20
15,fb13,0,0,20
15,fb14,1,1,20
15,fb15,0,0,20
15,fb16,0,0,20
15,fb17,1,1,20
15,fb18,0,0,20
15,fb19,0,0,20
20,fb0,1,1,20
20,fb1,1,1,20
20,fb2,1,1,20
20,fb3,0,0,20
20,fb4,0,0,20
20,fb5,0,0,20
20,fb6,1,1,20
20,fb7,1,1,20
20,fb8,1,1,20
20,fb9,1,1,20
20,fb10,0,0,20
20,fb11,0,0,20
20,fb12,0,0,20
20,fb13,0,0,20
20,fb14,2,1,20
20,fb15,0,0,20
20,fb16,0,0,20
20,fb17,1,1,20
20,fb18,0,0,20
20,fb19,0,0,20
25,fb0,1,1,20
25,fb1,1,1,20
25,fb2,1,1,20
25,fb3,0,0,20
25,fb4,0,0,20
25,fb5,0,0,20
25,fb6,1,1,20
25,fb7,1,1,20
25,fb8,1,1,20
25,fb9,1,1,20
25,fb10,0,0,20
25,fb11,0,0,20
25,fb12,0,0,20
25,fb13,0,0,20
25,fb14,2,1,20
25,fb15,0,0,20
25,fb16,0,0,20
25,fb17,1,1,20
25,fb18,0,0,20
25,fb19,0,0,20
30,fb0,1,1,20
30,fb1,1,1,20
30,fb2,1,1,20
30,fb3,0,0,20
30,fb4,0,0,20
30,fb5,0,0,20
30,fb6,1,1,20
30,fb7,1,1,20
30,fb8,1,1,20
30,fb9,2,1,20
30,fb10,0,0,20
30,fb11,1,1,20
30,fb12,0,0,20
30,fb13,0,0,20
30,fb14,2,1,20
30,fb15,1,1,20
30,fb16,0,0,20
30,fb17,1,1,20
30,fb18,0,0,20
30,fb19,1,1,20
35,fb0,1,1,20
35,fb1,1,1,20
35,fb2,1,1,20
35,fb3,0,0,20
35,fb4,0,0,20
35,fb5,0,0,20
35,fb6,1,1,20
35,fb7,1,1,20
35,fb8,1,1,20
35,fb9,2,1,20
35,fb10,0,0,20
35,fb11,1,1,20
35,fb12,0,0,20
35,fb13,0,0,20
35,fb14,2,1,20
35,fb15,1,1,20
35,fb16,0,0,20
35,fb17,1,1,20
35,fb18,0,0,20
35,fb19,1,1,20
40,fb0,1,1,20
40,fb1,1,1,20
40,fb2,1,1,20
40,fb3,0,0,20
40,fb4,0,0,20
40,fb5,0,0,20
40,fb6,1,1,20
40,fb7,1,1,20
40,fb8,1,1,20
40,fb9,2,1,20
40,fb10,0,0,20
40,fb11,1,1,20
40,fb12,0,0,20
40,fb13,0,0,20
40,fb14,2,1,20
40,fb15,1,1,20
40,fb16,0,0,20
40,fb17,1,1,20
40,fb18,0,0,20
40,fb19,1,1,20
45,fb0,1,1,20
45,fb1,1,1,20
45,fb2,1,1,20
45,fb3,0,0,20
45,fb4,0,0,20
45,fb5,0,0,20
45,fb6,1,1,20
45,fb7,1,1,20
45,fb8,1,1,20
45,fb9,2,1,20
45,fb10,0,0,20
45,fb11,1,1,20
45,fb12,0,0,20
45,fb13,0,0,20
45,fb14,2,1,20
45,fb15,1,1,20
45,fb16,0,0,20
45,fb17,1,1,20
45,fb18,0,0,20
45,fb19,1,1,20
50,fb0,1,1,20
50,fb1,1,1,20
50,fb2,1,1,20
50,fb3,0,0,20
50,fb4,0,0,20
50,fb5,0,0,20
50,fb6,1,1,20
50,fb7,1,1,20
50,fb8,1,0,20
50,fb9,2,0,20
50,fb10,0,0,20
50,fb11,1,1,20
50,fb12,0,0,20
50,fb13,0,0,20
50,fb14,2,1,20
50,fb15,1,1,20
50,fb16,0,0,20
50,fb17,1,1,20
50,fb18,0,0,20
50,fb19,1,1,20
55,fb0,1,1,20
55,fb1,1,1,20
55,fb2,2,1,20
55,fb3,0,0,20
55,fb4,0,0,20
55,fb5,1,1,20
55,fb6,1,1,20
55,fb7,1,1,20
55,fb8,1,1,20
55,fb9,2,1,20
55,fb10,0,0,20
55,fb11,1,1,20
55,fb12,0,0,20
55,fb13,0,0,20
55,fb14,2,1,20
55,fb15,1,1,20
55,fb16,0,0,20
55,fb17,1,1,20
55,fb18,0,0,20
55,fb19,1,1,20
60,fb0,1,1,20
60,fb1,1,1,20
60,fb2,2,1,20
60,fb3,0,0,20
60,fb4,0,0,20
60,fb5,1,1,20
60,fb6,1,1,20
60,fb7,1,1,20
60,fb8,1,1,20
60,fb9,2,1,20
60,fb10,0,0,20
60,fb11,1,1,20
60,fb12,0,0,20
60,fb13,0,0,20
60,fb14,2,1,20
60,fb15,1,1,20
60,fb16,0,0,20
60,fb17,1,1,20
60,fb18,0,0,20
60,fb19,1,1,20
65,fb0,1,1,20
65,fb1,1,1,20
65,fb2,2,1,20
65,fb3,0,0,20
65,fb4,0,0,20
65,fb5,1,1,20
65,fb6,1,1,20
65,fb7,1,1,20
65,fb8,1,1,20
65,fb9,2,1,20
65,fb10,0,0,20
65,fb11,1,1,20
65,fb12,0,0,20
65,fb13,0,0,20
65,fb14,2,1,20
65,fb15,1,1,20
65,fb16,0,0,20
65,fb17,1,1,20
65,fb18,0,0,20
65,fb19,1,1,20
70,fb0,1,1,20
70,fb1,1,1,20
70,fb2,2,1,20
70,fb3,1,1,20
70,fb4,0,0,20
70,fb5,1,1,20
70,fb6,1,1,20
70,fb7,1,1,20
70,fb8,1,1,20
70,fb9,2,1,20
70,fb10,0,0,20
70,fb11,1,1,20
70,fb12,0,0,20
70,fb13,0,0,20
70,fb14,2,1,20
70,fb15,1,1,20
70,fb16,1,1,20
70,fb17,1,1,20
70,fb18,0,0,20
70,fb19,1,1,20
75,fb0,1,1,20
75,fb1,1,1,20
75,fb2,2,1,20
75,fb3,1,1,20
75,fb4,0,0,20
75,fb5,2,1,20
75,fb6,1,1,20
75,fb7,1,1,20
75,fb8,1,1,20
75,fb9,2,1,20
75,fb10,0,0,20
75,fb11,1,1,20
75,fb12,0,0,20
75,fb13,1,1,20
75,fb14,2,1,20
75,fb15,1,1,20
75,fb16,1,1,20
75,fb17,1,1,20
75,fb18,0,0,20
75,fb19,1,1,20
80,fb0,1,1,20
80,fb1,1,1,20
80,fb2,2,1,20
80,fb3,1,1,20
80,fb4,0,0,20
80,fb5,2,1,20
80,fb6,1,1,20
80,fb7,1,1,20
80,fb8,1,1,20
80,fb9,2,1,20
80,fb10,0,0,20
80,fb11,1,1,20
80,fb12,0,0,20
80,fb13,1,1,20
80,fb14,2,1,20
80,fb15,1,1,20
80,fb16,1,1,20
80,fb17,1,1,20
80,fb18,0,0,20
80,fb19,1,1,20
85,fb0,1,1,20
85,fb1,1,1,20
85,fb2,2,1,20
85,fb3,1,1,20
85,fb4,0,0,20
85,fb5,2,0,20
85,fb6,1,1,20
85,fb7,1,1,20
85,fb8,1,1,20
85,fb9,2,1,20
85,fb10,0,0,20
85,fb11,1,1,20
85,fb12,0,0,20
85,fb13,1,1,20
85,fb14,2,1,20
85,fb15,1,1,20
85,fb16,1,1,20
85,fb17,1,1,20
85,fb18,0,0,20
85,fb19,1,1,20
90,fb0,1,1,20
90,fb1,1,1,20
90,fb2,2,1,20
90,fb3,1,1,20
90,fb4,0,0,20
90,fb5,2,1,20
90,fb6,1,1,20
90,fb7,1,1,20
90,fb8,1,1,20
90,fb9,2,1,20
90,fb10,0,0,20
90,fb11,1,1,20
90,fb12,0,0,20
90,fb13,1,1,20
90,fb14,2,1,20
90,fb15,1,1,20
90,fb16,1,1,20
90,fb17,1,1,20
90,fb18,0,0,20
90,fb19,1,1,20
95,fb0,1,1,20
95,fb1,1,1,20
95,fb2,2,1,20
95,fb3,1,1,20
95,fb4,0,0,20
95,fb5,2,1,20
95,fb6,1,1,20
95,fb7,1,1,20
95,fb8,1,1,20
95,fb9,2,1,20
95,fb10,0,0,20
95,fb11,1,1,20
95,fb12,0,0,20
95,fb13,1,1,20
95,fb14,2,1,20
