tick,robot_id,neighbor_count,stopped,swarm_size
5,fb0,0,0,5
5,fb1,1,1,5
5,fb2,1,1,5
5,fb3,0,0,5
5,fb4,0,0,5
10,fb0,0,0,5
10,fb1,1,1,5
10,fb2,1,1,5
10,fb3,0,0,5
10,fb4,0,0,5
15,fb0,0,0,5
15,fb1,1,1,5
15,fb2,1,1,5
15,fb3,0,0,5
15,fb4,0,0,5
20,fb0,0,0,5
20,fb1,1,1,5
20,fb2,1,1,5
20,fb3,0,0,5
20,fb4,0,0,5
25,fb0,0,0,5
25,fb1,1,1,5
25,fb2,1,1,5
25,fb3,0,0,5
25,fb4,0,0,5
30,fb0,0,0,5
30,fb1,1,1,5
30,fb2,1,1,5
30,fb3,0,0,5
30,fb4,0,0,5
35,fb0,0,0,5
35,fb1,1,1,5
35,fb2,1,1,5
35,fb3,0,0,5
35,fb4,0,0,5
40,fb0,0,0,5
40,fb1,1,1,5
40,fb2,1,1,5
40,fb3,0,0,5
40,fb4,0,0,5
45,fb0,0,0,5
45,fb1,1,1,5
45,fb2,1,1,5
45,fb3,0,0,5
45,fb4,0,0,5
50,fb0,0,0,5
50,fb1,1,1,5
50,fb2,1,1,5
50,fb3,0,0,5
50,fb4,0,0,5
55,fb0,0,0,5
55,fb1,1,1,5
55,fb2,1,1,5
55,fb3,0,0,5
55,fb4,0,0,5
60,fb0,0,0,5
60,fb1,1,1,5
60,fb2,1,1,5
60,fb3,0,0,5
60,fb4,0,0,5
65,fb0,0,0,5
65,fb1,1,1,5
65,fb2,1,1,5
65,fb3,0,0,5
65,fb4,0,0,5
70,fb0,0,0,5
70,fb1,1,1,5
70,fb2,1,1,5
70,fb3,0,0,5
70,fb4,0,0,5
75,fb0,0,0,5
75,fb1,1,1,5
75,fb2,1,1,5
75,fb3,0,0,5
75,fb4,0,0,5
80,fb0,0,0,5
80,fb1,1,1,5
80,fb2,1,1,5
80,fb3,0,0,5
80,fb4,0,0,5
85,fb0,0,0,5
85,fb1,1,1,5
85,fb2,1,1,5
85,fb3,0,0,5
85,fb4,0,0,5
90,fb0,0,0,5
90,fb1,1,1,5
90,fb2,1,1,5
90,fb3,0,0,5
90,fb4,0,0,5
95,fb0,0,0,5
95,fb1,1,1,5
95,fb2,1,1,5
95,fb3,0,0,5
95,fb4,0,0,5
100,fb0,0,0,5
100,fb1,1,1,5
100,fb2,1,1,5
100,fb3,0,0,5
100,fb4,0,0,5
105,fb0,0,0,5
105,fb1,1,1,5
105,fb2,1,1,5
105,fb3,0,0,5
105,fb4,0,0,5
110,fb0,0,0,5
110,fb1,1,1,5
110,fb2,1,1,5
110,fb3,0,0,5
110,fb4,0,0,5
115,fb0,0,0,5
115,fb1,1,1,5
115,fb2,1,1,5
115,fb3,0,0,5
115,fb4,0,0,5
120,fb0,0,0,5
120,fb1,1,1,5
120,fb2,1,1,5
120,fb3,0,0,5
120,fb4,0,0,5
125,fb0,0,0,5
125,fb1,1,1,5
125,fb2,1,1,5
125,fb3,0,0,5
125,fb4,0,0,5
130,fb0,0,0,5
130,fb1,1,1,5
130,fb2,1,1,5
130,fb3,0,0,5
130,fb4,0,0,5
135,fb0,0,0,5
135,fb1,1,1,5
135,fb2,1,1,5
135,fb3,0,0,5
135,fb4,0,0,5
140,fb0,0,0,5
140,fb1,1,1,5
140,fb2,1,1,5
140,fb3,0,0,5
140,fb4,0,0,5
145,fb0,0,0,5
145,fb1,1,1,5
145,fb2,1,1,5
145,fb3,0,0,5
145,fb4,0,0,5
150,fb0,0,0,5
150,fb1,1,1,5
150,fb2,1,1,5
150,fb3,0,0,5
150,fb4,0,0,5
155,fb0,0,0,5
155,fb1,1,0,5
155,fb2,1,0,5
155,fb3,0,0,5
155,fb4,0,0,5
160,fb0,0,0,5
160,fb1,1,1,5
160,fb2,1,1,5
160,fb3,0,0,5
160,fb4,0,0,5
165,fb0,0,0,5
165,fb1,1,1,5
165,fb2,1,1,5
165,fb3,0,0,5
165,fb4,0,0,5
170,fb0,0,0,5
170,fb1,1,1,5
170,fb2,1,1,5
170,fb3,0,0,5
170,fb4,0,0,5
175,fb0,0,0,5
175,fb1,1,1,5
175,fb2,1,1,5
175,fb3,0,0,5
175,fb4,0,0,5
180,fb0,0,0,5
180,fb1,1,1,5
180,fb2,1,1,5
180,fb3,0,0,5
180,fb4,0,0,5
185,fb0,0,0,5
185,fb1,1,1,5
185,fb2,1,1,5
185,fb3,0,0,5
185,fb4,0,0,5
190,fb0,0,0,5
190,fb1,1,1,5
190,fb2,1,1,5
190,fb3,0,0,5
190,fb4,0,0,5
195,fb0,0,0,5
195,fb1,1,1,5
195,fb2,1,1,5
195,fb3,0,0,5
195,fb4,0,0,5
200,fb0,0,0,5
200,fb1,1,1,5
200,fb2,1,1,5
200,fb3,0,0,5
200,fb4,0,0,5
205,fb0,0,0,5
205,fb1,1,1,5
205,fb2,1,1,5
205,fb3,0,0,5
205,fb4,0,0,5
210,fb0,0,0,5
210,fb1,1,1,5
210,fb2,1,1,5
210,fb3,0,0,5
210,fb4,0,0,5
215,fb0,0,0,5
215,fb1,1,1,5
215,fb2,1,1,5
215,fb3,0,0,5
215,fb4,0,0,5
220,fb0,0,0,5
220,fb1,1,1,5
220,fb2,1,1,5
220,fb3,0,0,5
220,fb4,0,0,5
225,fb0,0,0,5
225,fb1,1,1,5
225,fb2,1,1,5
225,fb3,0,0,5
225,fb4,0,0,5
230,fb0,0,0,5
230,fb1,1,1,5
230,fb2,1,1,5
230,fb3,0,0,5
230,fb4,0,0,5
235,fb0,0,0,5
235,fb1,1,1,5
235,fb2,1,1,5
235,fb3,0,0,5
235,fb4,0,0,5
240,fb0,0,0,5
240,fb1,1,1,5
240,fb2,1,1,5
240,fb3,0,0,5
240,fb4,0,0,5
245,fb0,0,0,5
245,fb1,1,1,5
245,fb2,1,1,5
245,fb3,0,0,5
245,fb4,0,0,5
250,fb0,0,0,5
250,fb1,1,1,5
250,fb2,1,1,5
250,fb3,0,0,5
250,fb4,0,0,5
255,fb0,0,0,5
255,fb1,1,1,5
255,fb2,1,1,5
255,fb3,0,0,5
255,fb4,0,0,5
260,fb0,0,0,5
260,fb1,1,1,5
260,fb2,1,1,5
260,fb3,0,0,5
260,fb4,0,0,5
265,fb0,0,0,5
265,fb1,1,1,5
265,fb2,1,1,5
265,fb3,0,0,5
265,fb4,0,0,5
270,fb0,0,0,5
270,fb1,1,1,5
270,fb2,1,1,5
270,fb3,0,0,5
270,fb4,0,0,5
275,fb0,0,0,5
275,fb1,1,1,5
275,fb2,1,1,5
275,fb3,0,0,5
275,fb4,0,0,5
280,fb0,0,0,5
280,fb1,1,1,5
280,fb2,1,1,5
280,fb3,0,0,5
280,fb4,0,0,5
285,fb0,0,0,5
285,fb1,1,1,5
285,fb2,1,1,5
285,fb3,0,0,5
285,fb4,0,0,5
290,fb0,0,0,5
290,fb1,1,1,5
290,fb2,1,1,5
290,fb3,0,0,5
290,fb4,0,0,5
295,fb0,0,0,5
295,fb1,1,1,5
295,fb2,1,1,5
295,fb3,0,0,5
295,fb4,0,0,5
300,fb0,0,0,5
300,fb1,1,1,5
300,fb2,1,1,5
300,fb3,0,0,5
300,fb4,0,0,5
305,fb0,0,0,5
305,fb1,1,1,5
305,fb2,1,1,5
305,fb3,0,0,5
305,fb4,0,0,5
310,fb0,0,0,5
310,fb1,1,0,5
310,fb2,1,0,5
310,fb3,0,0,5
310,fb4,0,0,5
315,fb0,0,0,5
315,fb1,1,1,5
315,fb2,1,1,5
315,fb3,0,0,5
315,fb4,0,0,5
320,fb0,0,0,5
320,fb1,1,1,5
320,fb2,1,1,5
320,fb3,0,0,5
320,fb4,0,0,5
325,fb0,0,0,5
325,fb1,1,1,5
325,fb2,1,1,5
325,fb3,0,0,5
325,fb4,0,0,5
330,fb0,0,0,5
330,fb1,1,1,5
330,fb2,1,1,5
330,fb3,0,0,5
330,fb4,0,0,5
335,fb0,0,0,5
335,fb1,1,1,5
335,fb2,1,1,5
335,fb3,0,0,5
335,fb4,0,0,5
340,fb0,0,0,5
340,fb1,1,1,5
340,fb2,1,1,5
340,fb3,0,0,5
340,fb4,0,0,5
345,fb0,0,0,5
345,fb1,1,1,5
345,fb2,1,1,5
345,fb3,0,0,5
345,fb4,0,0,5
350,fb0,0,0,5
350,fb1,1,1,5
350,fb2,1,1,5
350,fb3,0,0,5
350,fb4,0,0,5
355,fb0,0,0,5
355,fb1,1,1,5
355,fb2,1,1,5
355,fb3,0,0,5
355,fb4,0,0,5
360,fb0,0,0,5
360,fb1,1,1,5
360,fb2,1,1,5
360,fb3,0,0,5
360,fb4,0,0,5
365,fb0,0,0,5
365,fb1,1,1,5
365,fb2,1,1,5
365,fb3,0,0,5
365,fb4,0,0,5
370,fb0,0,0,5
370,fb1,1,1,5
370,fb2,1,1,5
370,fb3,0,0,5
370,fb4,0,0,5
375,fb0,0,0,5
375,fb1,1,1,5
375,fb2,1,1,5
375,fb3,0,0,5
375,fb4,0,0,5
380,fb0,0,0,5
380,fb1,1,1,5
380,fb2,1,1,5
380,fb3,0,0,5
380,fb4,0,0,5
385,fb0,0,0,5
385,fb1,1,1,5
385,fb2,1,1,5
385,fb3,0,0,5
385,fb4,0,0,5
390,fb0,0,0,5
390,fb1,1,1,5
390,fb2,1,1,5
390,fb3,0,0,5
390,fb4,0,0,5
395,fb0,0,0,5
395,fb1,1,1,5
395,fb2,1,1,5
395,fb3,0,0,5
395,fb4,0,0,5
400,fb0,0,0,5
400,fb1,1,1,5
400,fb2,1,1,5
400,fb3,0,0,5
400,fb4,0,0,5
405,fb0,0,0,5
405,fb1,1,1,5
405,fb2,1,1,5
405,fb3,0,0,5
405,fb4,0,0,5
410,fb0,0,0,5
410,fb1,1,1,5
410,fb2,1,1,5
410,fb3,0,0,5
410,fb4,0,0,5
415,fb0,0,0,5
415,fb1,1,1,5
415,fb2,1,1,5
415,fb3,0,0,5
415,fb4,0,0,5
420,fb0,0,0,5
420,fb1,1,1,5
420,fb2,1,1,5
420,fb3,0,0,5
420,fb4,0,0,5
425,fb0,0,0,5
425,fb1,1,1,5
425,fb2,1,1,5
425,fb3,0,0,5
425,fb4,0,0,5
430,fb0,0,0,5
430,fb1,1,1,5
430,fb2,1,1,5
430,fb3,0,0,5
430,fb4,0,0,5
435,fb0,0,0,5
435,fb1,1,1,5
435,fb2,1,1,5
435,fb3,0,0,5
435,fb4,0,0,5
440,fb0,0,0,5
440,fb1,1,1,5
440,fb2,1,1,5
440,fb3,0,0,5
440,fb4,0,0,5
445,fb0,0,0,5
445,fb1,1,1,5
445,fb2,1,1,5
445,fb3,0,0,5
445,fb4,0,0,5
450,fb0,0,0,5
450,fb1,1,1,5
450,fb2,1,1,5
450,fb3,0,0,5
450,fb4,0,0,5
455,fb0,0,0,5
455,fb1,1,1,5
455,fb2,1,1,5
455,fb3,0,0,5
455,fb4,0,0,5
460,fb0,0,0,5
460,fb1,1,1,5
460,fb2,1,1,5
460,fb3,0,0,5
460,fb4,0,0,5
465,fb0,0,0,5
465,fb1,1,0,5
465,fb2,1,0,5
465,fb3,0,0,5
465,fb4,0,0,5
470,fb0,0,0,5
470,fb1,1,1,5
470,fb2,1,1,5
470,fb3,0,0,5
470,fb4,0,0,5
475,fb0,0,0,5
475,fb1,1,1,5
475,fb2,1,1,5
475,fb3,0,0,5
475,fb4,0,0,5
480,fb0,0,0,5
480,fb1,1,1,5
480,fb2,1,1,5
480,fb3,0,0,5
480,fb4,0,0,5
485,fb0,0,0,5
485,fb1,1,1,5
485,fb2,1,1,5
485,fb3,0,0,5
485,fb4,0,0,5
490,fb0,0,0,5
490,fb1,1,1,5
490,fb2,1,1,5
490,fb3,0,0,5
490,fb4,0,0,5
495,fb0,0,0,5
495,fb1,1,1,5
495,fb2,1,1,5
495,fb3,0,0,5
495,fb4,0,0,5
500,fb0,0,0,5
500,fb1,1,1,5
500,fb2,1,1,5
500,fb3,0,0,5
500,fb4,0,0,5
505,fb0,0,0,5
505,fb1,1,1,5
505,fb2,1,1,5
505,fb3,0,0,5
505,fb4,0,0,5
510,fb0,0,0,5
510,fb1,1,1,5
510,fb2,1,1,5
510,fb3,0,0,5
510,fb4,0,0,5
515,fb0,0,0,5
515,fb1,1,1,5
515,fb2,1,1,5
515,fb3,0,0,5
515,fb4,0,0,5
520,fb0,0,0,5
520,fb1,1,1,5
520,fb2,1,1,5
520,fb3,0,0,5
520,fb4,0,0,5
525,fb0,0,0,5
525,fb1,1,1,5
525,fb2,1,1,5
525,fb3,0,0,5
525,fb4,0,0,5
530,fb0,0,0,5
530,fb1,1,1,5
530,fb2,1,1,5
530,fb3,0,0,5
530,fb4,0,0,5
535,fb0,0,0,5
535,fb1,1,1,5
535,fb2,1,1,5
535,fb3,0,0,5
535,fb4,0,0,5
540,fb0,0,0,5
540,fb1,1,1,5
540,fb2,1,1,5
540,fb3,0,0,5
540,fb4,0,0,5
545,fb0,0,0,5
545,fb1,1,1,5
545,fb2,1,1,5
545,fb3,0,0,5
545,fb4,0,0,5
550,fb0,0,0,5
550,fb1,1,1,5
550,fb2,1,1,5
550,fb3,0,0,5
550,fb4,0,0,5
555,fb0,0,0,5
555,fb1,1,1,5
555,fb2,1,1,5
555,fb3,0,0,5
555,fb4,0,0,5
560,fb0,0,0,5
560,fb1,1,1,5
560,fb2,1,1,5
560,fb3,0,0,5
560,fb4,0,0,5
565,fb0,0,0,5
565,fb1,1,1,5
565,fb2,1,1,5
565,fb3,0,0,5
565,fb4,0,0,5
570,fb0,0,0,5
570,fb1,1,1,5
570,fb2,1,1,5
570,fb3,0,0,5
570,fb4,0,0,5
575,fb0,0,0,5
575,fb1,1,1,5
575,fb2,1,1,5
575,fb3,0,0,5
575,fb4,0,0,5
580,fb0,0,0,5
580,fb1,1,1,5
580,fb2,1,1,5
580,fb3,0,0,5
580,fb4,0,0,5
585,fb0,0,0,5
585,fb1,1,1,5
585,fb2,1,1,5
585,fb3,0,0,5
585,fb4,0,0,5
590,fb0,0,0,5
590,fb1,1,1,5
590,fb2,1,1,5
590,fb3,0,0,5
590,fb4,0,0,5
595,fb0,0,0,5
595,fb1,1,1,5
595,fb2,1,1,5
595,fb3,0,0,5
595,fb4,0,0,5
600,fb0,0,0,5
600,fb1,1,1,5
600,fb2,1,1,5
600,fb3,0,0,5
600,fb4,0,0,5
605,fb0,0,0,5
605,fb1,1,1,5
605,fb2,1,1,5
605,fb3,0,0,5
605,fb4,0,0,5
610,fb0,0,0,5
610,fb1,1,1,5
610,fb2,1,1,5
610,fb3,0,0,5
610,fb4,0,0,5
615,fb0,0,0,5
615,fb1,1,1,5
615,fb2,1,1,5
615,fb3,0,0,5
615,fb4,0,0,5
620,fb0,0,0,5
620,fb1,1,0,5
620,fb2,1,0,5
620,fb3,0,0,5
620,fb4,0,0,5
625,fb0,0,0,5
625,fb1,1,1,5
625,fb2,1,1,5
625,fb3,0,0,5
625,fb4,0,0,5
630,fb0,0,0,5
630,fb1,1,1,5
630,fb2,1,1,5
630,fb3,0,0,5
630,fb4,0,0,5
635,fb0,0,0,5
635,fb1,1,1,5
635,fb2,1,1,5
635,fb3,0,0,5
635,fb4,0,0,5
640,fb0,0,0,5
640,fb1,1,1,5
640,fb2,1,1,5
640,fb3,0,0,5
640,fb4,0,0,5
645,fb0,0,0,5
645,fb1,1,1,5
645,fb2,1,1,5
645,fb3,0,0,5
645,fb4,0,0,5
650,fb0,0,0,5
650,fb1,1,1,5
650,fb2,1,1,5
650,fb3,0,0,5
650,fb4,0,0,5
655,fb0,0,0,5
655,fb1,1,1,5
655,fb2,1,1,5
655,fb3,0,0,5
655,fb4,0,0,5
660,fb0,0,0,5
660,fb1,1,1,5
660,fb2,1,1,5
660,fb3,0,0,5
660,fb4,0,0,5
665,fb0,0,0,5
665,fb1,1,1,5
665,fb2,1,1,5
665,fb3,0,0,5
665,fb4,0,0,5
670,fb0,0,0,5
670,fb1,1,1,5
670,fb2,1,1,5
670,fb3,0,0,5
670,fb4,0,0,5
675,fb0,0,0,5
675,fb1,1,1,5
675,fb2,1,1,5
675,fb3,0,0,5
675,fb4,0,0,5
680,fb0,0,0,5
680,fb1,1,1,5
680,fb2,1,1,5
680,fb3,0,0,5
680,fb4,0,0,5
685,fb0,0,0,5
685,fb1,1,1,5
685,fb2,1,1,5
685,fb3,0,0,5
685,fb4,0,0,5
690,fb0,0,0,5
690,fb1,1,1,5
690,fb2,1,1,5
690,fb3,0,0,5
690,fb4,0,0,5
695,fb0,0,0,5
695,fb1,1,1,5
695,fb2,1,1,5
695,fb3,0,0,5
695,fb4,0,0,5
700,fb0,0,0,5
700,fb1,1,1,5
700,fb2,1,1,5
700,fb3,0,0,5
700,fb4,0,0,5
705,fb0,0,0,5
705,fb1,1,1,5
705,fb2,1,1,5
705,fb3,0,0,5
705,fb4,0,0,5
710,fb0,0,0,5
710,fb1,1,1,5
710,fb2,1,1,5
710,fb3,0,0,5
710,fb4,0,0,5
715,fb0,1,1,5
715,fb1,1,1,5
715,fb2,1,1,5
715,fb3,0,0,5
715,fb4,1,1,5
720,fb0,1,1,5
720,fb1,1,1,5
720,fb2,1,1,5
720,fb3,0,0,5
720,fb4,1,1,5
725,fb0,1,1,5
725,fb1,1,1,5
725,fb2,1,1,5
725,fb3,0,0,5
725,fb4,1,1,5
730,fb0,1,1,5
730,fb1,1,1,5
730,fb2,1,1,5
730,fb3,0,0,5
730,fb4,1,1,5
735,fb0,1,1,5
735,fb1,1,1,5
735,fb2,1,1,5
735,fb3,0,0,5
735,fb4,1,1,5
740,fb0,1,1,5
740,fb1,1,1,5
740,fb2,1,1,5
740,fb3,0,0,5
740,fb4,1,1,5
745,fb0,1,1,5
745,fb1,1,1,5
745,fb2,1,1,5
745,fb3,0,0,5
745,fb4,1,1,5
750,fb0,1,1,5
750,fb1,1,1,5
750,fb2,1,1,5
750,fb3,0,0,5
750,fb4,1,1,5
755,fb0,1,1,5
755,fb1,1,1,5
755,fb2,1,1,5
755,fb3,0,0,5
755,fb4,1,1,5
760,fb0,1,1,5
760,fb1,1,1,5
760,fb2,1,1,5
760,fb3,0,0,5
760,fb4,1,1,5
765,fb0,1,1,5
765,fb1,1,1,5
765,fb2,1,1,5
765,fb3,0,0,5
765,fb4,1,1,5
770,fb0,1,1,5
770,fb1,1,1,5
770,fb2,1,1,5
770,fb3,0,0,5
770,fb4,1,1,5
775,fb0,1,1,5
775,fb1,1,0,5
775,fb2,1,0,5
775,fb3,0,0,5
775,fb4,1,1,5
780,fb0,1,1,5
780,fb1,1,1,5
780,fb2,1,1,5
780,fb3,0,0,5
780,fb4,1,1,5
785,fb0,1,1,5
785,fb1,1,1,5
785,fb2,1,1,5
785,fb3,0,0,5
785,fb4,1,1,5
790,fb0,1,1,5
790,fb1,1,1,5
