tick,robot_id,neighbor_count,stopped,swarm_size
5,fb0,0,0,10
5,fb1,1,1,10
5,fb2,1,1,10
5,fb3,0,0,10
5,fb4,0,0,10
5,fb5,0,0,10
5,fb6,1,1,10
5,fb7,1,1,10
5,fb8,0,0,10
5,fb9,0,0,10
10,fb0,0,0,10
10,fb1,1,1,10
10,fb2,1,1,10
10,fb3,0,0,10
10,fb4,0,0,10
10,fb5,0,0,10
10,fb6,1,1,10
10,fb7,1,1,10
10,fb8,0,0,10
10,fb9,0,0,10
15,fb0,0,0,10
15,fb1,1,1,10
15,fb2,1,1,10
15,fb3,0,0,10
15,fb4,0,0,10
15,fb5,0,0,10
15,fb6,1,1,10
15,fb7,1,1,10
15,fb8,0,0,10
15,fb9,0,0,10
20,fb0,0,0,10
20,fb1,1,1,10
20,fb2,1,1,10
20,fb3,0,0,10
20,fb4,0,0,10
20,fb5,0,0,10
20,fb6,1,1,10
20,fb7,1,1,10
20,fb8,1,1,10
20,fb9,1,1,10
25,fb0,0,0,10
25,fb1,1,1,10
25,fb2,1,1,10
25,fb3,0,0,10
25,fb4,0,0,10
25,fb5,0,0,10
25,fb6,1,1,10
25,fb7,1,1,10
25,fb8,1,1,10
25,fb9,1,1,10
30,fb0,0,0,10
30,fb1,1,1,10
30,fb2,1,1,10
30,fb3,0,0,10
30,fb4,0,0,10
30,fb5,0,0,10
30,fb6,1,1,10
30,fb7,1,1,10
30,fb8,1,1,10
30,fb9,1,1,10
35,fb0,0,0,10
35,fb1,1,1,10
35,fb2,1,1,10
35,fb3,0,0,10
35,fb4,0,0,10
35,fb5,0,0,10
35,fb6,1,1,10
35,fb7,1,1,10
35,fb8,1,1,10
35,fb9,1,1,10
40,fb0,0,0,10
40,fb1,1,1,10
40,fb2,1,1,10
40,fb3,0,0,10
40,fb4,0,0,10
40,fb5,0,0,10
40,fb6,1,1,10
40,fb7,1,1,10
40,fb8,1,1,10
40,fb9,1,1,10
45,fb0,0,0,10
45,fb1,1,1,10
45,fb2,1,1,10
45,fb3,0,0,10
45,fb4,0,0,10
45,fb5,0,0,10
45,fb6,1,1,10
45,fb7,1,1,10
45,fb8,1,1,10
45,fb9,1,1,10
50,fb0,0,0,10
50,fb1,1,1,10
50,fb2,1,1,10
50,fb3,0,0,10
50,fb4,0,0,10
50,fb5,0,0,10
50,fb6,1,1,10
50,fb7,1,1,10
50,fb8,1,0,10
50,fb9,1,0,10
55,fb0,0,0,10
55,fb1,1,1,10
55,fb2,2,1,10
55,fb3,0,0,10
55,fb4,0,0,10
55,fb5,1,1,10
55,fb6,1,1,10
55,fb7,1,1,10
55,fb8,1,1,10
55,fb9,1,1,10
60,fb0,0,0,10
60,fb1,1,1,10
60,fb2,2,1,10
60,fb3,0,0,10
60,fb4,0,0,10
60,fb5,1,1,10
60,fb6,1,1,10
60,fb7,1,1,10
60,fb8,1,1,10
60,fb9,1,1,10
65,fb0,0,0,10
65,fb1,1,1,10
65,fb2,2,1,10
65,fb3,0,0,10
65,fb4,0,0,10
65,fb5,1,1,10
65,fb6,1,1,10
65,fb7,1,1,10
65,fb8,1,1,10
65,fb9,1,1,10
70,fb0,0,0,10
70,fb1,1,1,10
70,fb2,2,1,10
70,fb3,0,0,10
70,fb4,0,0,10
70,fb5,1,1,10
70,fb6,1,1,10
70,fb7,1,1,10
70,fb8,1,1,10
70,fb9,1,1,10
75,fb0,0,0,10
75,fb1,1,1,10
75,fb2,2,1,10
75,fb3,0,0,10
75,fb4,0,0,10
75,fb5,1,1,10
75,fb6,1,1,10
75,fb7,1,1,10
75,fb8,1,1,10
75,fb9,1,1,10
80,fb0,0,0,10
80,fb1,1,1,10
80,fb2,2,1,10
80,fb3,0,0,10
80,fb4,0,0,10
80,fb5,1,1,10
80,fb6,1,1,10
80,fb7,1,1,10
80,fb8,1,1,10
80,fb9,1,1,10
85,fb0,0,0,10
85,fb1,1,1,10
85,fb2,2,1,10
85,fb3,0,0,10
85,fb4,0,0,10
85,fb5,1,0,10
85,fb6,1,1,10
85,fb7,1,1,10
85,fb8,1,1,10
85,fb9,1,1,10
90,fb0,0,0,10
90,fb1,1,1,10
90,fb2,2,1,10
90,fb3,0,0,10
90,fb4,0,0,10
90,fb5,1,1,10
90,fb6,1,1,10
90,fb7,1,1,10
90,fb8,1,1,10
90,fb9,1,1,10
95,fb0,0,0,10
95,fb1,1,1,10
95,fb2,2,1,10
95,fb3,0,0,10
95,fb4,0,0,10
95,fb5,1,1,10
95,fb6,1,1,10
95,fb7,1,1,10
95,fb8,1,1,10
95,fb9,1,1,10
100,fb0,0,0,10
100,fb1,1,1,10
100,fb2,2,1,10
100,fb3,0,0,10
100,fb4,0,0,10
100,fb5,1,1,10
100,fb6,1,1,10
100,fb7,1,1,10
100,fb8,1,1,10
100,fb9,1,1,10
105,fb0,0,0,10
105,fb1,1,1,10
105,fb2,2,1,10
105,fb3,0,0,10
105,fb4,0,0,10
105,fb5,1,1,10
105,fb6,1,1,10
105,fb7,1,1,10
105,fb8,1,1,10
105,fb9,1,1,10
110,fb0,0,0,10
110,fb1,1,1,10
110,fb2,2,1,10
110,fb3,0,0,10
110,fb4,0,0,10
110,fb5,1,1,10
110,fb6,1,1,10
110,fb7,1,1,10
110,fb8,1,1,10
110,fb9,1,1,10
115,fb0,0,0,10
115,fb1,1,1,10
115,fb2,2,1,10
115,fb3,0,0,10
115,fb4,0,0,10
115,fb5,1,1,10
115,fb6,1,1,10
115,fb7,1,1,10
115,fb8,1,1,10
115,fb9,1,1,10
120,fb0,0,0,10
120,fb1,1,1,10
120,fb2,2,1,10
120,fb3,0,0,10
120,fb4,0,0,10
120,fb5,1,1,10
120,fb6,1,1,10
120,fb7,1,1,10
120,fb8,1,1,10
120,fb9,1,1,10
125,fb0,0,0,10
125,fb1,1,1,10
125,fb2,2,1,10
125,fb3,0,0,10
125,fb4,0,0,10
125,fb5,1,1,10
125,fb6,1,0,10
125,fb7,1,0,10
125,fb8,1,1,10
125,fb9,1,1,10
130,fb0,0,0,10
130,fb1,1,1,10
130,fb2,2,1,10
130,fb3,0,0,10
130,fb4,0,0,10
130,fb5,1,1,10
130,fb6,1,1,10
130,fb7,1,1,10
130,fb8,1,1,10
130,fb9,1,1,10
135,fb0,0,0,10
135,fb1,1,1,10
135,fb2,2,1,10
135,fb3,0,0,10
135,fb4,0,0,10
135,fb5,1,1,10
135,fb6,1,1,10
135,fb7,1,1,10
135,fb8,1,1,10
